"quartet" "wQuartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.778270816114779 0.809646302250804 0.230172628412194 0.566360930566952 0.183618484860747 0.126067335245362 0.146104408256816
"mb50" 0.596004248787382 0.700328275007742 0.199940075531784 0.297644655342033 0.154885203687117 0.100739240727373 0.112547236862371
"mb51" 0.804465478714692 0.823069133756789 0.22241649137855 0.678513040077759 0.179575908034223 0.113531069713729 0.122128040547546
"mb52" 0.736541333801497 0.761099638616417 0.196267820743132 0.577235999543412 0.157350102578424 0.0896339210006573 0.0924162849332719
"mb53" 0.834943092504281 0.852880711312124 0.212592019203817 0.691371719239457 0.170329322036631 0.103926842046215 0.110928349962083
"mb54" 0.666666666666667 0.70527531211662 0.196329805046249 0.666382380979982 0.160945547648191 0.0732578388095835 0.0658294598751463
"mb55" 0.75063236389712 0.821232050860463 0.2257599646184 0.543752802206243 0.179296386526929 0.116946068992024 0.141204917528864
"mb56" 0.633534370054931 0.70029346626016 0.213090803968267 0.112938988904651 0.144695022079667 0.056600708313036 0.173837595604027
"mb57" 0.897727272727273 0.93378824235153 0.204906579304687 0.89761810909872 0.181475488902215 0.0897016282471472 0.0771306184928682
"mb58" 0.628418286934269 0.697052441348925 0.194469860517213 0.248953306636115 0.144346106912416 0.0865006933429569 0.135017877451038
"mb59" 0.770114942528736 0.856640043319345 0.217801176092843 0.770049846137165 0.186325180908921 0.0881166572079491 0.0914363698948437
"mb60" 0.746059538118741 0.741956465975301 0.188088698813051 0.488053080542292 0.141208823552286 0.0974790183076509 0.110025110531043
"mb61" 0.752046533000859 0.827222166043078 0.226337371529181 0.597489221403574 0.18198419913578 0.112471538013053 0.126764404141676
"mb62" 0.729429796276424 0.794401767406937 0.218157328209268 0.455087823906602 0.168997015051281 0.105692351047698 0.143174331935377
"mb63" 0.692743266041895 0.740616017584399 0.204911544102226 0.476716601314274 0.1560643228775 0.0970529293914912 0.117839790189743
"mb64" 0.563218390804598 0.671372804163956 0.209445214256066 0.437228398828273 0.167275413695023 0.0746359136090144 0.0810745554161086
